x	y1
1.300000000000e-01	1.788060580215e+01
1.390258117895e-01	1.679843805332e+01
1.486782795671e-01	1.581864866093e+01
1.590009116329e-01	1.493541032671e+01
1.700402370387e-01	1.414322252666e+01
1.818460153167e-01	1.343688348313e+01
1.944714607699e-01	1.281146414654e+01
2.079734823340e-01	1.226228417154e+01
2.224129400936e-01	1.178488987626e+01
2.378549196076e-01	1.137503417259e+01
2.543690252813e-01	1.102865845223e+01
2.720296941064e-01	1.074187640534e+01
2.909165311844e-01	1.051095973932e+01
3.111146685453e-01	1.033232575145e+01
3.327151488779e-01	1.020252669512e+01
3.558153359031e-01	1.011824086249e+01
3.805193532390e-01	1.007626528927e+01
4.069385537358e-01	1.007350996986e+01
4.351920213965e-01	1.010699345385e+01
4.654071081458e-01	1.017383967944e+01
4.977200078658e-01	1.027127588552e+01
5.322763702877e-01	1.039663143420e+01
5.692319575046e-01	1.054733736895e+01
6.087533460660e-01	1.072092653184e+01
6.510186778183e-01	1.091503406635e+01
6.962184628754e-01	1.112739814022e+01
7.445564383389e-01	1.135586073510e+01
7.962504866396e-01	1.159836836663e+01
8.515336176371e-01	1.185297261762e+01
9.106550189078e-01	1.211783038960e+01
9.738811789524e-01	1.239120380026e+01
1.041497088387e+00	1.267145967810e+01
1.113807524534e+00	1.295706862733e+01
1.191138425196e+00	1.324660365666e+01
1.273838357820e+00	1.353873838356e+01
1.362280090650e+00	1.383224484025e+01
1.456862272978e+00	1.412599091932e+01
1.558011232048e+00	1.441893750475e+01
1.666182894712e+00	1.471013533898e+01
1.781864842516e+00	1.499872167798e+01
1.905578509461e+00	1.528391678548e+01
2.037881532357e+00	1.556502031413e+01
2.179370264359e+00	1.584140761661e+01
2.330682463018e+00	1.611252602379e+01
2.492500164958e+00	1.637789112096e+01
2.665552760143e+00	1.663708304648e+01
2.850620279589e+00	1.688974283183e+01
3.048536911334e+00	1.713556879626e+01
3.260194760526e+00	1.737431300547e+01
3.486547870568e+00	1.760577780015e+01
3.728616523450e+00	1.782981239797e+01
3.987491838648e+00	1.804630957134e+01
4.264340691323e+00	1.825520240261e+01
4.560410971985e+00	1.845646111844e+01
4.877037211337e+00	1.865009000559e+01
5.215646595642e+00	1.883612441135e+01
5.577765399740e+00	1.901462783246e+01
5.965025866692e+00	1.918568909754e+01
6.379173565093e+00	1.934941964844e+01
6.822075257176e+00	1.950595092683e+01
7.295727313213e+00	1.965543187208e+01
7.802264710108e+00	1.979802653670e+01
8.343970654762e+00	1.993391182507e+01
8.923286875583e+00	2.006327536054e+01
9.542824628525e+00	2.018631348491e+01
1.020537646727e+01	2.030322939368e+01
1.091392883061e+01	2.041423140850e+01
1.167167550376e+01	2.051953138788e+01
1.248203201425e+01	2.061934327509e+01
1.334865102741e+01	2.071388178167e+01
1.427543881062e+01	2.080336120326e+01
1.526657284074e+01	2.088799436388e+01
1.632652063406e+01	2.096799168345e+01
1.746005988344e+01	2.104356036293e+01
1.867229999376e+01	2.111490368067e+01
1.996870511237e+01	2.118222039312e+01
2.135511875871e+01	2.124570423267e+01
2.283779016377e+01	2.130554349542e+01
2.442340243842e+01	2.136192071142e+01
2.611910269741e+01	2.141501238997e+01
2.793253427476e+01	2.146498883290e+01
2.987187117605e+01	2.151201400878e+01
3.194585492246e+01	2.155624548138e+01
3.416383395311e+01	2.159783438612e+01
3.653580576286e+01	2.163692544838e+01
3.907246196587e+01	2.167365703825e+01
4.178523648783e+01	2.170816125647e+01
4.468635710412e+01	2.174056404683e+01
4.778890055627e+01	2.177098533069e+01
5.110685149508e+01	2.179953915968e+01
5.465516551621e+01	2.182633388311e+01
5.844983657215e+01	2.185147232675e+01
6.250796906465e+01	2.187505198034e+01
6.684785494249e+01	2.189716519127e+01
7.148905615203e+01	2.191789936217e+01
7.645249281230e+01	2.193733715070e+01
8.176053751199e+01	2.195555666964e+01
8.743711615344e+01	2.197263168613e+01
9.350781579817e+01	2.198863181870e+01
1.000000000000e+02	2.200362273115e+01
